Week,Day,Time,Occupancy,Temperature,Action_Taken,Energy_Used_kWh
1,Monday,09:00,6,18,Heating_Low,1.4
1,Tuesday,14:00,3,20,Heating_Off,0.0
1,Wednesday,18:00,5,19,Heating_Medium,1.9
1,Friday,21:00,4,17,Heating_High,2.6
2,Monday,09:00,7,19,Heating_Low,1.5
2,Tuesday,14:00,4,21,Heating_Off,0.0
2,Thursday,18:00,6,20,Heating_Medium,2.0
2,Saturday,22:00,5,18,Heating_High,2.7
3,Monday,09:00,8,21,Heating_Medium,2.1
3,Wednesday,14:00,5,22,Heating_Off,0.0
3,Friday,19:00,7,20,Heating_Medium,2.0
3,Sunday,21:00,6,18,Heating_High,2.5
10,Monday,09:00,8,27,AC_Speed_1_Maintain,1.3
10,Tuesday,13:00,4,29,AC_Speed_2,2.2
10,Thursday,17:00,6,30,AC_Speed_3,3.1
10,Saturday,20:00,7,31,AC_Speed_3,3.4
20,Monday,08:00,7,24,HVAC_Off,0.0
20,Wednesday,12:00,3,25,HVAC_Off,0.0
20,Friday,18:00,6,26,AC_Speed_1,1.4
20,Sunday,21:00,5,27,AC_Speed_2,2.3
30,Tuesday,09:00,9,32,AC_Speed_3_Precool,3.5
30,Thursday,14:00,5,34,AC_Speed_3,3.8
30,Friday,19:00,8,33,AI_Precool_18:30,2.9
30,Sunday,22:00,6,31,AI_Optimized,1.9
40,Monday,07:00,6,15,Heating_High,2.8
40,Wednesday,13:00,4,17,Heating_Medium,2.1
40,Friday,18:00,7,16,Heating_High,2.9
40,Saturday,21:00,6,14,Heating_High,3.1
50,Tuesday,09:00,8,20,Heating_Low,1.5
50,Thursday,14:00,5,22,Heating_Off,0.0
50,Friday,19:00,7,21,Heating_Low,1.6
50,Sunday,22:00,6,19,Heating_Medium,2.0
52,Monday,08:00,9,17,Heating_High,2.7
52,Wednesday,12:00,4,18,Heating_Medium,2.1
52,Friday,18:00,6,16,Heating_High,2.9
52,Sunday,21:00,7,15,Heating_High,3.0
1,Monday,08:00,5,18,Heating_Low,1.3
1,Tuesday,09:00,6,19,Heating_Low,1.4
1,Wednesday,10:00,7,20,Heating_Medium,1.8
1,Thursday,14:00,4,21,Heating_Off,0.0
1,Friday,18:00,6,19,Heating_Medium,1.9
1,Saturday,20:00,5,18,Heating_High,2.5
1,Sunday,21:00,4,17,Heating_High,2.7
2,Monday,08:00,6,19,Heating_Low,1.4
2,Tuesday,09:00,7,20,Heating_Medium,1.8
2,Wednesday,11:00,8,21,Heating_Medium,1.9
2,Thursday,14:00,5,22,Heating_Off,0.0
2,Friday,18:00,7,20,Heating_Medium,2.0
2,Saturday,20:00,6,19,Heating_High,2.6
2,Sunday,21:00,5,18,Heating_High,2.8
3,Monday,08:00,6,20,Heating_Medium,1.9
3,Tuesday,09:00,7,21,Heating_Medium,2.0
3,Wednesday,11:00,8,22,Heating_Off,0.0
3,Thursday,14:00,5,23,HVAC_Off,0.0
3,Friday,18:00,7,21,Heating_Medium,2.0
3,Saturday,20:00,6,20,Heating_Low,1.5
3,Sunday,21:00,5,19,Heating_Low,1.4
4,Monday,08:00,7,22,HVAC_Off,0.0
4,Tuesday,09:00,8,23,HVAC_Off,0.0
4,Wednesday,11:00,9,24,AC_Speed_1,1.2
4,Thursday,14:00,6,25,AC_Speed_1,1.3
4,Friday,18:00,8,26,AC_Speed_2,2.1
4,Saturday,20:00,7,27,AC_Speed_2,2.3
4,Sunday,21:00,6,28,AC_Speed_3,3.0
